"","V1"
"1",-1.27852270702696
"2",-6.49704579729587
"3",4.16302147321403
"4",4.69238797668368
"5",-6.59462459851056
"6",1.11814120784402
"7",-6.0517322877422
"8",-6.49166529532522
"9",7.05577197950333
"10",-2.03819840215147
"11",-0.752319036982954
"12",8.88098453171551
"13",2.66287998761982
"14",-4.21195775531954
"15",5.68455934281859
"16",2.21495016860256
"17",9.60719392825479
"18",-5.03177471924573
"19",-6.28759517334402
"20",1.35421688202769
"21",1.04310964699835
"22",-6.67356038466096
"23",-1.3873326452449
"24",7.25579611957073
"25",7.6178409717977
"26",-3.78047604113817
"27",2.15691346209496
"28",-7.29765095748007
"29",-9.93155466858298
"30",-7.18388819601387
"31",3.0246798787266
"32",0.514479419216514
"33",-4.1247082548216
"34",-9.0049737644255
"35",-6.01013102762042
"36",2.74811975179612
"37",-9.71129699414016
"38",5.57677519650183
"39",6.58311516361746
"40",9.22281731889315
"41",-1.71899171441814
"42",9.69157446046528
"43",-4.10651157208652
"44",-8.05541469478532
"45",-8.76044705916731
"46",8.47720275620593
"47",-5.96652517034877
"48",6.3629212664924
"49",-0.872171433052947
"50",0.0531343073189425
"51",6.93694275846122
"52",6.8797077138729
"53",-3.95903352402402
"54",9.10395561717451
"55",1.3301819935441
"56",5.49184609670192
"57",0.924004889093339
"58",5.18183435779065
"59",9.97084263712168
"60",-3.33956287697056
"61",8.04170969775036
"62",4.96666414055527
"63",-4.4219779310966
"64",-2.95421784568307
"65",9.56919474466697
"66",-3.30749646498138
"67",-7.51314201166317
"68",0.45052191187802
"69",6.87284899112715
"70",-4.28583419717279
"71",1.30581093300371
"72",3.28937044461984
"73",4.70341213600692
"74",7.35922991197277
"75",-5.38398615567496
"76",-3.59689973837201
"77",1.62694763251917
"78",6.54455251794787
"79",-0.625775895145073
"80",9.83694013401956
"81",-3.05398208484466
"82",-0.0977971615341503
"83",-2.39228044682311
"84",3.8122711982578
"85",1.42321123741567
"86",-5.44392101466656
"87",-2.85048053599894
"88",5.22686068232424
"89",-8.58325576534603
"90",2.30717496139787
"91",0.0514650337851684
"92",-6.63785085311218
"93",-1.32485654599771
"94",-0.768351917546586
"95",-9.48169576458849
"96",2.77831986008831
"97",2.59516225307622
"98",-4.52011509036221
"99",-6.6127571884245
"100",4.18688756843377
"101",-0.958691513010564
"102",-0.0481194861665276
"103",-5.78151892756193
"104",-2.63648906827382
"105",-4.95057000199464
"106",-3.46266388626828
"107",-2.08845368093481
"108",4.5778677315135
"109",-2.89749948662946
"110",6.89005354393145
"111",-6.86230460267036
"112",1.81194781333061
"113",-7.94325057882816
"114",3.98171801120043
"115",-5.39706416412428
"116",0.685536004898642
"117",7.17368734934154
"118",3.25686812088511
"119",-4.81884735111627
"120",9.17099988511855
"121",9.06700630174849
"122",-7.6040380071692
"123",3.52644914259199
"124",5.39900016024734
"125",1.31332883780963
"126",5.59651771177869
"127",-3.21883334494919
"128",-1.33488673207917
"129",7.98341157949868
"130",8.77035510078188
"131",-4.78348264587607
"132",10.7062461262396
"133",3.74787099745607
"134",4.62613920112476
"135",4.47446099332683
"136",8.52481054697596
"137",-5.74732630035617
"138",-5.07714616141049
"139",6.19608941613047
"140",2.75102775261424
"141",8.88823451827937
"142",4.04121176805347
"143",-3.08684765826911
"144",-3.37464133519149
"145",-1.01381387513871
"146",-7.90883708008895
"147",-5.13756097877173
"148",-5.83213680316255
"149",-3.72260222064676
"150",5.08422122493222
"151",0.91740538811977
"152",-7.54708092543018
"153",3.74035355366131
"154",3.86753387475974
"155",-2.14092596075366
"156",2.86932096880951
"157",1.81149979929819
"158",-4.23756321737181
"159",4.21640057347155
"160",-2.98731588818372
"161",3.42255719584391
"162",-8.88357738215973
"163",3.63362134382569
"164",-4.45939111464279
"165",7.7732550915493
"166",9.76513122586128
"167",-0.800960872517509
"168",-2.44814648916633
"169",4.76100423377618
"170",-1.82784381322563
"171",7.94591620929932
"172",-3.07833253800124
"173",-9.31567011748743
"174",3.04332793185837
"175",3.75610300419513
"176",-2.23282408110937
"177",3.98102015139727
"178",3.64925010432091
"179",-0.232807383000535
"180",5.9064025921271
"181",5.94355035014659
"182",-2.4375343983944
"183",-6.00464556561982
"184",2.68563034936872
"185",-9.22349048647315
"186",6.85314595515258
"187",2.28502868319032
"188",-3.9742826961574
"189",-2.55943386498366
"190",3.87532287748498
"191",-1.49961702285273
"192",1.36831483178448
"193",2.53579992744038
"194",-2.26182288258058
"195",5.32161000333982
"196",4.35846422956328
"197",-1.0498127974981
"198",0.0392172363226567
"199",2.36964791059763
"200",-2.31507935714628
"201",-8.13157269231222
"202",9.0016234108474
"203",-3.8184537442658
"204",-5.98657864503259
"205",0.614664337694089
"206",-2.04217665885211
"207",-10.4180848694669
"208",5.79415005580422
"209",-10.3708193152599
"210",-7.36732865695799
"211",-1.51151368829996
"212",-3.85830168036948
"213",-0.373239481406105
"214",-1.90755229029087
"215",-11.1068368583926
"216",3.17914438959216
"217",6.25722008739451
"218",-0.332250010610729
"219",-4.75923936535664
"220",-1.520019533905
"221",-3.35514468722774
"222",-9.73480529611608
"223",7.22440645549242
"224",-1.5179255848659
"225",-7.02310245874231
"226",4.37123183733129
"227",-4.37832618442048
"228",9.94853495188319
"229",6.98072281178296
"230",-6.59102623846212
"231",-8.87430168715109
"232",0.495283599739863
"233",-3.53728462003356
"234",3.69994080403619
"235",-7.64591073162895
"236",7.47662001926501
"237",-10.7026893656961
"238",-2.65395220830021
"239",0.575491352087847
"240",-6.88327079168838
"241",-2.88939320924641
"242",-1.88053596003491
"243",-0.680653456541057
"244",-8.59965157005959
"245",-9.74291025943111
"246",-4.96953253876935
"247",-7.65061555892412
"248",-2.86304839737164
"249",-4.05162985320374
"250",-0.922742259508012
"251",6.75949575441284
"252",-1.78553509375789
"253",-5.33171067736397
"254",8.8362467104063
"255",-3.12343646482942
"256",1.442545480574
"257",-2.1021104724187
"258",-6.76565724506588
"259",-2.65184203627446
"260",4.34259545951626
"261",-5.15434907489869
"262",4.17098048809059
"263",2.47909681808103
"264",-1.63638234677221
"265",0.544707008753435
"266",7.24337969406112
"267",-8.70974128117391
"268",6.40239858554478
"269",1.12641126336501
"270",5.6527929640773
"271",-11.7669611521807
