"","V1"
"1",-28.0574140588458
"2",-42.9286615457386
"3",8.91759851947427
"4",15.4384708497673
"5",1.02836373262107
"6",14.2449048580602
"7",24.9430388212204
"8",-43.5496757505462
"9",-13.250044034794
"10",9.11698858253658
"11",5.49905132502317
"12",-4.2607344686985
"13",0.33066556788981
"14",-3.39584762408147
"15",46.7375466967327
"16",24.5267081845046
"17",-26.3325271348879
"18",-2.11223473306745
"19",14.7459031781182
"20",-47.0537887886167
"21",10.9385589603335
"22",37.210567924194
"23",14.2043496016413
"24",-7.45244158897549
"25",-22.1906791906804
"26",-36.8323207832873
"27",-18.6776356305927
"28",-23.0119726387784
"29",-24.5036143809557
"30",-34.8502403823659
"31",-34.677624842152
"32",34.6824636450037
"33",-12.7519698115066
"34",-0.999424065289056
"35",-45.2761753809642
"36",44.0242012549233
"37",9.42347772546319
"38",36.7157529798844
"39",37.3408408506538
"40",-21.7012336583757
"41",-1.55428277787094
"42",-20.5038697884251
"43",-42.6181555094875
"44",46.0756241806548
"45",-6.04094019458073
"46",-46.4094017275571
"47",-18.7766858011376
"48",41.7696477556874
"49",13.3935173753498
"50",-4.57137946460515
"51",-26.1279275672165
"52",6.9371454618502
"53",-1.45695960824535
"54",-5.54984607733786
"55",-17.2970324987546
"56",17.9945665877312
"57",-18.7000586418435
"58",48.7770188832656
"59",13.7207885738462
"60",-6.49756526138834
"61",-33.6575902977373
"62",-48.8146453336165
"63",45.3667945133918
"64",-39.0601202598295
"65",-8.45335671662081
"66",-13.5117283607691
"67",26.8258346188957
"68",25.3286343039072
"69",23.3256033724536
"70",-21.5146732953943
"71",6.70608104321205
"72",35.0241227600212
"73",1.14359836360144
"74",45.2450289164103
"75",18.4356949781546
"76",29.6326403120449
"77",1.51158423769043
"78",-3.30134005958526
"79",47.7985555175317
"80",-27.3122809827632
"81",-43.4643761707116
"82",47.0412871869509
"83",-20.3194825775559
"84",-35.4941933182999
"85",3.17225705366582
"86",46.1503514321521
"87",-40.3301975689828
"88",-42.2092313338606
"89",24.1473781165749
"90",26.0983843537569
"91",16.2482975667339
"92",-49.8804679042144
"93",-35.8132757590335
"94",11.4665482805085
"95",26.1189933597893
"96",37.30166594401
"97",16.6329846455806
"98",4.97542799493972
"99",-8.82714440220474
"100",-12.8091748904521
"101",-15.6131028846047
"102",9.97516418386611
"103",-25.006021056489
"104",36.4172867825574
"105",31.4253084140818
"106",31.9510988854713
"107",35.0270984769228
"108",-39.6849309706793
"109",38.7837328045671
"110",5.51363442942227
"111",-37.0150861618759
"112",-34.8873030712138
"113",-2.25650125648826
"114",-43.1332296924666
"115",-34.2070104516
"116",6.45260864155859
"117",-20.4243260212701
"118",-46.3663675186514
"119",18.1292997552823
"120",47.1981877782797
"121",31.0472049289278
"122",-12.8426764513617
"123",-9.77107138156964
"124",-26.5039207920037
"125",-17.6119510990322
"126",-20.9097053146964
"127",13.5817666456898
"128",24.112855432805
"129",3.73054542252754
"130",20.6234893903429
"131",-44.9688428876218
"132",23.6219769984001
"133",-30.3726086591877
"134",-7.48759852785527
"135",-15.9166275955348
"136",30.9307653911059
"137",7.26534976232379
"138",41.2442038196561
"139",-19.3451587722707
"140",4.07091884995412
"141",-4.58568851183604
"142",-16.5858696447685
"143",-15.6442819163203
"144",-4.85852302527463
"145",44.3408074347468
"146",28.9762981347541
"147",-24.9313927211315
"148",-47.4696261991303
"149",19.24311262312
"150",23.4606432218975
"151",26.6969278505307
"152",15.7524917497743
"153",2.08332445392324
"154",2.95952339248701
"155",-38.1633462439071
"156",-40.2939371378886
"157",27.2497392623791
"158",15.3170803434898
"159",28.3609332088693
"160",-3.71717314009897
"161",-29.6146610145086
"162",41.4334767044891
"163",-29.2014963470093
"164",25.8738689439456
"165",-35.5490246746927
"166",-35.4612631870411
"167",-11.9199490354284
"168",-48.905061749516
"169",6.66818945632603
"170",-14.4228247227147
"171",46.7583628051557
"172",26.0914970917363
"173",5.15411620472243
"174",-29.7782797511977
"175",-36.2597570710621
"176",-20.3002811407426
"177",36.4238067088449
"178",-21.330855502085
"179",31.8720282901126
"180",-44.4873937357249
"181",-18.3587708737785
"182",19.4696144922603
"183",-19.0398017970903
"184",-24.8528689399793
"185",-49.3760261381676
"186",33.2436607023257
"187",-35.0542890023734
"188",31.9310343260032
"189",-24.4252319062782
"190",20.6974558185079
"191",-12.5265638157967
"192",-25.6859203893585
"193",13.1531323904879
"194",-15.6373744457993
"195",-41.0960307397205
"196",-49.4340495134847
"197",-33.4950502096848
"198",14.6925263988028
"199",17.1361722233287
"200",-40.2909914821866
"201",38.1980374625546
"202",22.9662337487303
"203",45.8483412191861
"204",36.6234190929155
"205",-29.8146874420918
"206",6.40163023340885
"207",-16.9165774738442
"208",-10.6484535351911
"209",12.2909690094394
"210",-48.1574802489164
"211",-21.5249155377602
"212",42.292539378472
"213",-14.5469834317937
"214",-25.0958312028423
"215",5.81868130088425
"216",-0.31096786731298
"217",-36.6028353230939
"218",-11.3977295837425
